Where are you living currently?,How long have you been in Wichita? (in months),What is your apartment name? (street name if housing),How many people are staying in your unit?,What is the size of your unit?,"Overall, how satisfied are you with your current living?","On a scale of responsiveness, how efficient is the management of your apartment complex? (in maintenance services etc.,)",What are your thoughts on the level of safety in the vicinity of your residence?,What is the total monthly rent of your unit?,"What was the total amount you paid initially, covering fees such as application fees, deposit fees, and others?",Are you paying rental insurance for your unit monthly?,"If yes, what is your monthly rental insurance?","What is the approximate total amount of monthly bills (electricity, parking, etc.,) not included in your rent?",Do your apartment require guarantor?,Is your apartment pet friendly?,What is your preferred mode of transportation when leaving your residence?,What is the duration of time it takes you to walk from your residence to the closest transit stop?,What is the duration of time it takes for transit to reach from your stop to the university?,"What is the approximate duration of time, in minutes, it takes for you to reach your closest grocery store?",What is the approximate duration of time it takes for you to reach your preferred nearby restaurant?,What type of laundry amenities are available in your accommodation?
House you rent,8,Brickstone,6,2 bed 1.5 bath,4,4,4,899,600,Yes,20,400,Yes,Yes,Transit,10.0,15.0,10.0,10.0,In the apartment complex
Apartment,9,Other,6,2 bed 2 bath,5,5,5,1120,400,No,0,2300,Yes,Yes,Transit,5.0,30.0,3.0,10.0,Need to go to other place for this facility
Apartment,8,Brickstone,6,3 bed 2 bath,4,5,5,1080,400,Yes,0,1300,Yes,Yes,Transit,6.0,10.0,7.0,15.0,In the apartment complex
Apartment,10,21W,4,2 bed 1 bath,2,1,1,755,1000,No,0,350,No,Yes,Transit,4.0,8.0,10.0,10.0,In the apartment complex
Apartment,4,Brickstone,5,2 bed 1.5 bath,4,4,4,1100,2500,Yes,40,260,Don't know,Yes,Transit,10.0,5.0,10.0,5.0,In the apartment complex
Apartment,4,Brickstone,5,2 bed 1.5 bath,4,4,4,1100,2500,Yes,50,250,Don't know,Yes,Transit,10.0,5.0,10.0,5.0,In the apartment complex
House you rent,16,Tall oaks,2,1 bed 1 bath,4,4,4,700,500,Yes,25,120,No,Yes,Transit,10.0,15.0,10.0,15.0,In the apartment complex
Apartment,9,Tall oaks,2,1 bed 1 bath,5,5,5,670,400,No,0,250,Yes,Yes,Transit,5.0,10.0,10.0,10.0,In the apartment complex
Apartment,9,21W,6,3 bed 2 bath,3,3,3,8,1020,No,0,40,No,Yes,Transit,2.0,5.0,10.0,15.0,Need to go to other place for this facility
Apartment,9,21W,4,2 bed 1 bath,4,3,4,768,250,Yes,0,0,No,Yes,Transit,2.0,4.0,10.0,10.0,In the apartment complex
House you rent,14,Tall oaks,5,2 bed 1.5 bath,4,5,5,810,100,Yes,19,100,Don't know,Yes,Transit,1.5,10.0,10.0,20.0,In the apartment complex
Apartment,8,The Landing,5,2 bed 1.5 bath,5,4,5,1070,500,Yes,0,300,Yes,Yes,Transit,5.0,10.0,5.0,5.0,In unit/ home
Apartment,3,The Landing,4,2 bed 1 bath,5,5,5,950,40,No,0,180,Don't know,Yes,Transit,5.0,5.0,5.0,5.0,In the apartment complex
Apartment,9,The Landing,4,2 bed 1 bath,5,5,5,950,200,No,0,200,No,Yes,Transit,5.0,5.0,5.0,5.0,In the apartment complex
Apartment,8,Brickstone,5,2 bed 2 bath,5,4,4,0,3100,Yes,0,0,No,Yes,Transit,5.0,10.0,6.0,15.0,In the apartment complex
Apartment,8,Brickstone,6,2 bed 2 bath,4,4,4,950,250,No,0,450,No,Yes,Transit,8.0,7.0,8.0,20.0,In the apartment complex
Apartment,15,Tall oaks,3,2 bed 1.5 bath,5,5,5,850,300,Yes,20,250,No,Yes,Transit,2.0,5.0,5.0,12.0,In the apartment complex
Apartment,8,Brickstone,5,2 bed 1.5 bath,4,5,5,950,180,No,0,300,No,Yes,Transit,5.0,10.0,5.0,5.0,In the apartment complex
Apartment,8,Brickstone,5,2 bed 1.5 bath,4,4,4,925,450,No,0,0,Don't know,Yes,Transit,9.0,10.0,10.0,9.0,In the apartment complex
Apartment,4,Parc,6,2 bed 1.5 bath,4,4,4,1160,500,Yes,86,150,Don't know,No,Transit,3.0,10.0,10.0,10.0,In the apartment complex
Apartment,9,Brickstone,4,2 bed 1.5 bath,4,4,3,965,1000,Yes,12,250,No,Yes,Transit,6.0,5.0,7.0,10.0,In the apartment complex
Apartment,16,Brickstone,6,3 bed 2 bath,5,5,5,1200,450,Yes,0,80,Don't know,Yes,Transit,2.0,5.0,2.0,5.0,In the apartment complex
Apartment,16,Brickstone,6,3 bed 2 bath,5,5,5,1200,450,Yes,0,80,Don't know,Yes,Transit,2.0,5.0,2.0,10.0,In the apartment complex
Apartment,4,Brickstone,4,2 bed 1.5 bath,4,4,4,1100,2500,Yes,50,250,Don't know,Yes,Transit,10.0,5.0,10.0,5.0,In the apartment complex
Apartment,15,21W,4,2 bed 1 bath,4,4,4,750,150,No,0,170,Don't know,Yes,Transit,2.0,5.0,5.0,5.0,In the apartment complex
Apartment,4,Parc,6,2 bed 1.5 bath,4,4,4,1150,500,Yes,86,300,No,Yes,Transit,2.0,15.0,10.0,10.0,In the apartment complex
Apartment,4,Parc,6,2 bed 1.5 bath,4,4,4,1150,500,Yes,86,300,Don't know,Yes,Transit,2.0,15.0,10.0,10.0,In the apartment complex
Apartment,16,Tall oaks,4,2 bed 1.5 bath,5,5,4,810,300,Yes,0,170,No,Yes,Transit,2.0,4.0,5.0,5.0,Need to go to other place for this facility
Apartment,8,Tall oaks,4,2 bed 1.5 bath,5,5,5,825,75,No,0,170,Yes,Yes,Transit,5.0,5.0,10.0,20.0,In the apartment complex
Apartment,9,Brickstone,5,2 bed 1.5 bath,4,3,3,895,150,Yes,15,210,Yes,Don't Know,Transit,5.0,15.0,5.0,15.0,In the apartment complex
Apartment,8,Tall oaks,4,2 bed 1 bath,5,5,5,800,350,Yes,0,350,Don't know,Yes,Transit,2.0,5.0,5.0,5.0,In the apartment complex
Apartment,9,Brickstone,4,2 bed 1.5 bath,4,4,4,950,1120,Yes,0,300,No,Yes,Transit,8.0,6.0,10.0,10.0,In the apartment complex
Apartment,8,Tall oaks,5,2 bed 1 bath,1,5,3,835,200,No,0,300,Don't know,Don't Know,Transit,2.0,8.0,20.0,30.0,In the apartment complex
Apartment,8,Brickstone,4,2 bed 1.5 bath,4,3,3,895,600,Yes,60,2,Yes,Yes,Transit,5.0,5.0,5.0,5.0,In the apartment complex
Apartment,8,Tall oaks,5,2 bed 1 bath,1,5,3,835,200,No,0,300,Don't know,Don't Know,Transit,2.0,8.0,25.0,40.0,In the apartment complex
Apartment,5,21W,5,2 bed 1 bath,4,3,4,755,200,Yes,13,13,Don't know,Yes,Transit,2.0,2.0,6.0,5.0,In the apartment complex
House you rent,8,Other,6,3 bed 2 bath,3,3,5,1600,1000,No,0,500,Don't know,Yes,Transit,10.0,5.0,15.0,15.0,In unit/ home
Apartment,8,Brickstone,5,2 bed 1 bath,4,4,4,900,150,Yes,15,0,Yes,Yes,Transit,15.0,10.0,10.0,10.0,In the apartment complex
House you rent,9,Other,8,3 bed 3bath,3,3,5,1600,40,No,0,450,No,Yes,Transit,2.0,10.0,20.0,30.0,In unit/ home
Apartment,9,Parc,3,2 bed 2 bath,5,5,5,1100,1000,Yes,25,100,Yes,Yes,Transit,2.0,5.0,5.0,5.0,In the apartment complex
Apartment,10,Sundance,4,2 bed 2 bath,4,4,4,1100,500,No,0,300,No,Yes,Transit,8.0,15.0,15.0,10.0,In the apartment complex
Apartment,8,Parc,4,2 bed 2 bath,4,4,3,1000,400,Yes,41,250,Yes,Yes,Transit,2.0,10.0,8.0,8.0,In the apartment complex
Apartment,4,Brickstone,4,2 bed 2 bath,5,5,5,1000,400,No,0,500,Yes,Yes,Transit,5.0,5.0,5.0,5.0,In the apartment complex
Apartment,9,Parc,4,2 bed 2 bath,5,5,5,977,1080,Yes,40,60,Yes,Yes,Transit,2.0,5.0,4.0,2.0,In the apartment complex
Apartment,9,Parc,4,2 bed 2 bath,3,3,3,977,1080,Yes,40,60,Yes,Yes,Transit,2.0,6.0,4.0,5.0,In the apartment complex
Apartment,4,21W,6,2 bed 1 bath,4,3,5,755,50,Yes,13,300,Yes,Yes,Transit,2.0,5.0,3.0,20.0,In the apartment complex
Apartment,10,Brickstone,6,2 bed 2 bath,4,5,4,950,1200,Yes,16,300,Yes,Yes,Transit,5.0,5.0,5.0,5.0,In the apartment complex
Apartment,9,Other,6,2 bed 2 bath,3,3,3,1160,400,No,0,600,No,Yes,Transit,5.0,30.0,5.0,10.0,Need to go to other place for this facility
Apartment,10,Brickstone,4,2 bed 2 bath,5,5,5,1000,500,No,0,500,Yes,Yes,Transit,5.0,5.0,5.0,5.0,In the apartment complex
Apartment,21,Parc,4,2 bed 2 bath,3,3,3,1000,400,Yes,41,250,Yes,Yes,Transit,2.0,10.0,5.0,5.0,In the apartment complex
Apartment,8,Other,8,3 bed 2 bath,4,4,4,1350,1700,No,0,300,Don't know,Yes,Transit,30.0,15.0,15.0,30.0,In unit/ home
Apartment,8,Brickstone,4,2 bed 1.5 bath,4,4,4,900,200,Yes,0,1200,Yes,Yes,Transit,5.0,10.0,6.0,8.0,In the apartment complex
Apartment,1,Tall oaks,4,2 bed 2 bath,4,4,4,925,1500,Yes,0,350,Don't know,Don't Know,Transit,2.0,5.0,5.0,10.0,In unit/ home
Apartment,4,Tall oaks,3,2 bed 2 bath,4,4,4,350,450,Yes,0,200,Don't know,Don't Know,Transit,2.0,7.0,6.0,10.0,In unit/ home
Apartment,8,Brickstone,4,2 bed 1.5 bath,4,4,4,900,200,Yes,0,1100,Yes,Yes,Transit,5.0,10.0,7.0,10.0,In the apartment complex
Apartment,8,The Landing,4,2 bed 1 bath,5,5,5,0,1250,Yes,0,150,No,Yes,Transit,3.0,3.0,2.0,2.0,In unit/ home
Apartment,9,Brickstone,6,3 bed 2 bath,5,5,4,950,100,No,0,290,No,Yes,Transit,5.0,5.0,5.0,5.0,In the apartment complex
Apartment,9,Tall oaks,4,2 bed 1.5 bath,4,4,5,800,200,Yes,22,300,Yes,Yes,Transit,3.0,5.0,10.0,25.0,In the apartment complex
Apartment,9,Brickstone,6,3 bed 2 bath,4,4,4,950,100,No,0,300,No,Yes,Transit,5.0,5.0,5.0,5.0,In the apartment complex
Apartment,8,Brickstone,4,2 bed 1.5 bath,4,4,4,900,200,Yes,0,1200,Yes,Yes,Transit,5.0,12.0,6.0,10.0,In the apartment complex
Apartment,15,Grandview,3,1 bed 1 bath,5,5,5,700,400,No,0,50,No,Yes,Transit,2.0,10.0,15.0,20.0,In the apartment complex
House you rent,8,21W,4,2 bed 1 bath,3,4,4,800,1200,No,0,120,No,Don't Know,Transit,2.0,10.0,15.0,28.0,In the apartment complex
Apartment,9,21W,4,2 bed 1 bath,3,3,3,755,200,No,0,400,No,Yes,Transit,5.0,10.0,10.0,30.0,In the apartment complex
Apartment,4,Sundance,4,2 bed 2 bath,5,5,5,300,600,No,0,350,No,Yes,Transit,5.0,5.0,5.0,5.0,In the apartment complex
House you rent,8,Other,4,2 bed 1 bath,4,4,4,770,300,No,0,120,Yes,Don't Know,Transit,5.0,2.0,15.0,15.0,In the apartment complex
House you rent,8,Other,4,2 bed 1 bath,3,3,3,775,300,No,0,120,Don't know,Yes,Transit,5.0,2.0,10.0,15.0,In the apartment complex
House you rent,22,Brickstone,4,2 bed 1.5 bath,5,5,5,850,1500,No,0,100,Don't know,Yes,Transit,5.0,10.0,5.0,15.0,In the apartment complex
House you rent,8,Tall oaks,3,2 bed 1.5 bath,4,4,4,1100,2000,Yes,25,125,No,No,Transit,14.0,10.0,4.0,5.0,Need to go to other place for this facility
Apartment,8,Brickstone,5,2 bed 2 bath,4,4,3,1035,3100,Yes,50,80,No,Yes,Transit,5.0,10.0,5.0,15.0,In the apartment complex
Apartment,15,Other,5,3 bed 2 bath,5,5,5,0,2400,No,0,200,No,Yes,Transit,10.0,20.0,10.0,10.0,In unit/ home
Apartment,8,Brickstone,5,2 bed 1.5 bath,4,4,4,950,950,Yes,0,400,Don't know,Yes,Transit,7.0,7.0,10.0,10.0,In the apartment complex
Apartment,15,Tall oaks,5,2 bed 1 bath,5,5,5,1000,350,Yes,40,100,Yes,Yes,Transit,2.0,5.0,10.0,15.0,In the apartment complex
Apartment,4,Tall oaks,4,2 bed 1.5 bath,3,4,4,0,400,Yes,60,0,Don't know,Yes,Transit,2.0,5.0,5.0,20.0,In the apartment complex
Apartment,16,Tall oaks,4,2 bed 1 bath,5,5,5,840,500,Yes,25,150,No,Yes,Transit,2.0,5.0,5.0,15.0,In the apartment complex
Apartment,9,21W,4,2 bed 1 bath,3,3,3,760,200,No,0,360,No,Yes,Transit,5.0,10.0,10.0,30.0,In the apartment complex
House you rent,2,Brickstone,2,1 bed 1 bath,5,5,5,900,1500,Yes,15,500,No,Yes,Transit,5.0,10.0,5.0,15.0,Need to go to other place for this facility
House you rent,9,Other,8,4 bed 3 bath,5,4,5,0,1000,No,0,100,No,Yes,Transit,2.0,5.0,5.0,5.0,In unit/ home
Apartment,4,Tall oaks,4,2 bed 1.5 bath,4,4,4,0,1300,Yes,0,300,Yes,Yes,Transit,5.0,2.0,5.0,10.0,In the apartment complex
Apartment,4,Tall oaks,4,2 bed 1.5 bath,4,4,4,920,1000,Yes,20,800,Don't know,No,Transit,5.0,5.0,10.0,10.0,In the apartment complex
Apartment,4,Tall oaks,4,2 bed 2 bath,4,4,4,350,150,Yes,0,500,Don't know,No,Transit,2.0,10.0,7.0,20.0,In unit/ home
Apartment,9,Tall oaks,6,3 bed 2 bath,5,5,5,1200,700,Yes,80,400,Don't know,Yes,Transit,5.0,10.0,10.0,20.0,In the apartment complex
Apartment,8,The Landing,4,2 bed 1 bath,5,4,5,950,300,Yes,0,200,No,Yes,Transit,2.0,5.0,2.0,10.0,In the apartment complex
Apartment,10,Brickstone,6,2 bed 1.5 bath,3,5,5,895,1500,Yes,0,300,Don't know,Don't Know,Transit,10.0,3.0,10.0,20.0,In the apartment complex
Apartment,16,Tall oaks,4,2 bed 1 bath,3,3,3,1000,500,Yes,20,400,No,Yes,Transit,5.0,3.0,15.0,15.0,In the apartment complex
Apartment,10,Tall oaks,4,1 bed 1 bath,5,5,5,720,1000,Yes,20,1000,Don't know,Yes,Transit,3.0,5.0,10.0,15.0,In the apartment complex
House you rent,10,21W,6,2 bed 1.5 bath,4,4,4,1052,1700,No,0,400,No,Yes,Transit,2.0,2.0,12.0,30.0,Need to go to other place for this facility
Apartment,9,Tall oaks,5,2 bed 1.5 bath,5,5,5,816,500,Yes,18,250,Don't know,Yes,Transit,3.0,5.0,10.0,15.0,In the apartment complex
House you rent,9,Sundance,4,2 bed 2 bath,4,4,4,1100,1612,Yes,30,600,Yes,Yes,Transit,10.0,10.0,10.0,10.0,In the apartment complex
House you rent,10,21W,7,2 bed 1.5 bath,5,4,5,0,70,Yes,25,450,Yes,Yes,Transit,5.0,10.0,15.0,20.0,Need to go to other place for this facility
Apartment,8,Brickstone,4,2 bed 1.5 bath,3,3,3,895,400,Yes,50,400,Yes,Yes,Transit,5.0,5.0,5.0,5.0,In the apartment complex
Apartment,8,Brickstone,4,2 bed 1.5 bath,5,5,5,950,1100,Yes,140,300,Don't know,Yes,Transit,2.0,5.0,1.0,1.0,Need to go to other place for this facility
Apartment,17,Other,4,2 bed 2 bath,3,4,4,850,1000,Yes,15,350,No,Yes,Transit,10.0,5.0,15.0,15.0,In the apartment complex
Apartment,6,The Landing,5,2 bed 1.5 bath,5,5,5,1075,500,Yes,0,300,Yes,Yes,Transit,5.0,5.0,5.0,5.0,In unit/ home
Apartment,9,Tall oaks,2,1 bed 1 bath,5,5,4,0,1000,No,0,0,No,Yes,Transit,4.0,10.0,15.0,20.0,In the apartment complex
Apartment,9,21W,4,2 bed 1 bath,4,2,3,768,200,Yes,0,190,Yes,Yes,Transit,2.0,8.0,5.0,15.0,In the apartment complex
Apartment,8,Brickstone,4,2 bed 1.5 bath,4,5,5,850,150,No,0,0,Yes,Yes,Transit,7.0,10.0,10.0,20.0,In the apartment complex
Apartment,8,Brickstone,6,3 bed 2 bath,4,5,5,1200,300,No,0,400,Yes,Yes,Transit,6.0,10.0,7.0,8.0,In the apartment complex
House you rent,10,Parc,4,2 bed 2 bath,5,5,4,1050,1000,Yes,30,200,No,Yes,Transit,5.0,15.0,15.0,20.0,In the apartment complex
Apartment,10,Tall oaks,2,1 bed 1 bath,5,5,5,850,860,Yes,10,80,Yes,Yes,Transit,20.0,5.0,5.0,10.0,In the apartment complex
House you rent,9,Tall oaks,3,2 bed 1.5 bath,5,5,5,790,100,Yes,15,120,Yes,Yes,Transit,25.0,10.0,10.0,10.0,In the apartment complex
Apartment,10,Tall oaks,2,1 bed 1 bath,5,5,5,850,100,Yes,10,80,Yes,Yes,Transit,25.0,10.0,5.0,10.0,In the apartment complex
Apartment,8,Brickstone,5,2 bed 1.5 bath,4,4,4,950,100,Yes,15,300,Don't know,Yes,Transit,7.0,7.0,10.0,10.0,In the apartment complex
Apartment,8,Brickstone,4,2 bed 1.5 bath,3,3,3,900,150,No,0,400,Don't know,Yes,Transit,30.0,10.0,15.0,25.0,In the apartment complex
House you rent,18,The Landing,3,2 bed 1 bath,5,4,5,0,1200,Yes,0,215,No,Yes,Transit,5.0,2.0,4.0,5.0,In unit/ home
House you rent,10,Brickstone,7,2 bed 1.5 bath,3,2,5,1050,450,No,0,400,Yes,Yes,Transit,10.0,10.0,15.0,60.0,In the apartment complex
Apartment,9,Brickstone,4,1 bed 1 bath,3,4,3,0,500,Yes,0,0,Yes,Yes,Transit,7.0,5.0,10.0,5.0,In the apartment complex
